restaurant_name,comment_text,date,rating
چیکن فامیلی (اندرزگو),همه چی عالی,۱۹ آبان ۱۴۰۴,5
چیکن فامیلی (اندرزگو),مثل همیشه خوب بود ممنونم,۲۳ مهر ۱۴۰۴,5
چیکن فامیلی (اندرزگو),مثل همیشه عالی یکم پنیرپیتزاش زیادشده به نسبت قبل,۱۲ مهر ۱۴۰۴,5
چیکن فامیلی (اندرزگو),چند بار سفارش دادم خیلی خیلی خوب بوده ممنون ازتون,۱۰ مهر ۱۴۰۴,5
چیکن فامیلی (اندرزگو),پنیر چدار به شدت بد مزه و ترش بود انگار داری قره قروت میخوری مخصوصا روی سیب زمینی سوپر چیکن که انقدر ترش بود واقعا نمیشد خورد کیفیت پیتزا خوب بود,۲۸ شهریور ۱۴۰۴,
چیکن فامیلی (اندرزگو),عالی بود امیدوارم کیفیت حفظ شود مرسی,۲۱ شهریور ۱۴۰۴,5
چیکن فامیلی (اندرزگو),عالی بود,۱۶ شهریور ۱۴۰۴,5
چیکن فامیلی (اندرزگو),خوش طعم و با کیفیت,۱۶ شهریور ۱۴۰۴,5
چیکن فامیلی (اندرزگو),ارسال سریع,۱۴ شهریور ۱۴۰۴,5
چیکن فامیلی (اندرزگو),همه چیز عالی بود فقط جون پیتزا سیر و استیک مرغ بود برای این طعم سیر اصلا احساس نمیشد اما خوب بود,۱۳ شهریور ۱۴۰۴,4
چیکن فامیلی (اندرزگو),غذا گرم و خوشمزه بود,۱۳ شهریور ۱۴۰۴,5
چیکن فامیلی (اندرزگو),خوش قیمت و باکیفیت,۱۲ شهریور ۱۴۰۴,5
چیکن فامیلی (اندرزگو),مزه خوبی داشت ولی خمیر پیتزا سفید و نپخته بود,۱۱ شهریور ۱۴۰۴,3
چیکن فامیلی (اندرزگو),راضی بودم از پنینی مرغ و پیتزای استیک مرغ,۱ شهریور ۱۴۰۴,5
چیکن فامیلی (اندرزگو),عالی مثل همیشه,۲۴ مرداد ۱۴۰۴,5
چیکن فامیلی (اندرزگو),عالی! با کیفیت و ارسال سریع,۱۷ مرداد ۱۴۰۴,5
چیکن فامیلی (اندرزگو),پیتزا و سیب زمینی خیلی خوب بودن ولی سوخاری اصلا خوب نبود.,۱۷ مرداد ۱۴۰۴,3
چیکن فامیلی (اندرزگو),عالی بود ممنون,۱۴ مرداد ۱۴۰۴,5
چیکن فامیلی (اندرزگو),خوشمزه بود,۱۴ مرداد ۱۴۰۴,5
چیکن فامیلی (اندرزگو),لطفا سفارش در زمان کوتاه تری ارسال شود واقعا زمانبر بود.,۲۹ تیر ۱۴۰۴,5
رستوران ایتالیایی روتیندا,مدت یکسالی هست که مشتریشون شدم، واقعا کیفیت و طعم کارهاشون عالیه، تا الان هم خدا رو شکر ضعیف نشده,۲۷ آبان ۱۴۰۴,5
رستوران ایتالیایی روتیندا,خوشمزه,۱۱ آبان ۱۴۰۴,5
رستوران ایتالیایی روتیندا,گرم,۱۱ آبان ۱۴۰۴,5
رستوران ایتالیایی روتیندا,خدا برکت بده، خوب و خوشمزه بود,۱۰ آبان ۱۴۰۴,5
رستوران ایتالیایی روتیندا,حتی تو تخفیف هم ارزش خرید نداشت. بسیار بد بود,۵ آبان ۱۴۰۴,
رستوران ایتالیایی روتیندا,این سری پیتزا سیر و استیک سفارش دادم واقعا خوشمزه بود مرسی . فقط سرد شده بود خودم دوباره گرم کردم .,۲ آبان ۱۴۰۴,5
رستوران ایتالیایی روتیندا,از شش ماه پیش افزایش قیمت چندانی نداشتن ولی به شدت کاهش حجم مواد(گوشت و قارچ پیتزا و سس‌قارچ سیب‌زمینی و حتی خود سیب‌زمینی) و کیفیت بشدت افت کرده,۲ آبان ۱۴۰۴,
رستوران ایتالیایی روتیندا,من راضی بودم ، ممنونم از رستوران و اسنپ,۳۰ مهر ۱۴۰۴,5
رستوران ایتالیایی روتیندا,این بار برخلاف دفعه پیش اصلا خوب نبود.,۳۰ مهر ۱۴۰۴,2
رستوران ایتالیایی روتیندا,سلام خوب بود طعم خوبی داشت ولی میتوانید خمیر رو یکمی بهتر کنید فکر کنم به آرد یکمی روغن اضافه کنید نان از خشکی دربیاد,۲۴ مهر ۱۴۰۴,5
رستوران ایتالیایی روتیندا,متوسطِ رو به پایین اکثر سیر و استیک‌های این منطقه بهتر از اینه,۲۰ مهر ۱۴۰۴,2
رستوران ایتالیایی روتیندا,مثل همیشه عالی چندمین باره که همین سفارشو ثبت میکنم و کاملا راضی هستن,۱۳ مهر ۱۴۰۴,5
رستوران ایتالیایی روتیندا,داغ و خوشمزه به دستمان رسید ، از نظر مواد پر و پیمان بود ، نان پیتزا خوب و مناسب بود رستوران محبوب من است و همیشه از این رستوران خرید می کنم سفارش میدم ، ممنونم از مدیریت که نظارت خوبی,۹ مهر ۱۴۰۴,5
رستوران ایتالیایی روتیندا,بسیار بسیار شور بود و آنقدر روغن داشت که میچکید ازش. اصلا قابل خوردن نبود. دور ریختیم,۶ مهر ۱۴۰۴,
رستوران ایتالیایی روتیندا,عالی‌ و با کیفیت‌و‌به موقع,۳۱ شهریور ۱۴۰۴,5
رستوران ایتالیایی روتیندا,خیلی عالی خیلی خوشمزه‌ پیشنهاد میکنم حتما امتحان کنید دوستان خیلی معرکه هستش‌,۲۲ شهریور ۱۴۰۴,5
رستوران ایتالیایی روتیندا,خدا بهتون برکت بده بهترین رستوران تهران با اختلاف شمایین مرسی ازتون,۲۲ شهریور ۱۴۰۴,5
رستوران ایتالیایی روتیندا,واقعا بد بود,۲۲ شهریور ۱۴۰۴,
رستوران ایتالیایی روتیندا,سلام مثل همیشه عالی,۲۱ شهریور ۱۴۰۴,5
رستوران ایتالیایی روتیندا,مثل همیشه، خوب و سریع,۲۱ شهریور ۱۴۰۴,5
پیتزا پرپروک (پاسداران - شبانه),به شدت کیفیت افت کرده و گرون شده اصلا به هیچ وجه ارزش خرید نداره دیگه,۲۴ آبان ۱۴۰۴,
پیتزا پرپروک (پاسداران - شبانه),ممنون خیلی عالی بود,۱۱ خرداد ۱۴۰۴,5
