restaurant_name,comment_text,date,rating
غذای سالم و رژیمی پروکالری(سعادت آباد),مثل همیشه عالی بود، همون کیفیت همیشگی رو داشت,۲۷ آبان ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),عالی,۱۹ آبان ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),کاهو و گوجه همبرگر ها بسیار مونده و پلاسیده بود.,۱۹ آبان ۱۴۰۴,2
غذای سالم و رژیمی پروکالری(سعادت آباد),کدو و سیب زمینی اصلا خوب نبود طعم بدی داشت,۱۱ آبان ۱۴۰۴,3
غذای سالم و رژیمی پروکالری(سعادت آباد),متاسفانه در حمل غذا هیچگونه توجهی نشده بود و با ظاهری کاملا نامناسب غذا تحویل داده شد.,۸ آبان ۱۴۰۴,
غذای سالم و رژیمی پروکالری(سعادت آباد),واقعا فوووق العادن همییشههههه,۲۷ مهر ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),مثل همیشه عالی,۲۷ مهر ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),عالی,۲۳ مهر ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),عالی خیلی خوشمزه و تازه,۲۳ مهر ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),سلام عذابسیارسردوبی مزه,۲۲ مهر ۱۴۰۴,2
غذای سالم و رژیمی پروکالری(سعادت آباد),خوب بود,۱۵ مهر ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),خیلی خوشمزه,۱۲ مهر ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),ممنون که علاوه بر کیفیت و طعم عالی غذا همیشه به توضیحات هم توجه میکنید,۲ مهر ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),ممنون,۲۴ شهریور ۱۴۰۴,4
غذای سالم و رژیمی پروکالری(سعادت آباد),واقعا عالی و باکیفیت و خوشمزه در عین رژیمی بودن,۲۴ شهریور ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),لطفا در نوع سبزیجات تنوع بدید,۱۷ شهریور ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),همه چی عالی وخوشمزه فقط سبزیجات تون کامل پخته نشده بود سالاد هم خوشمزه وبا کیفیت,۱۰ شهریور ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),مرغ خشک بود غذا سرد بود کیفیت مثل همیشه نبود,۸ شهریور ۱۴۰۴,3
غذای سالم و رژیمی پروکالری(سعادت آباد),عالی,۵ شهریور ۱۴۰۴,5
غذای سالم و رژیمی پروکالری(سعادت آباد),استیک مرغ خیلی خوشمزه بود مخصوصا که من اصلا سبزیجات دوست ندارم ولی خوردمشون. پوره سیب‌زمینی خیلیییی شور بود اصلا انتظار نداشتم.,۵ شهریور ۱۴۰۴,3
شیکاگو گریل(تجریش),سس سالاد رو نفرستادین و پاستا هم خیلی چرب بود,۹ آبان ۱۴۰۴,3
شیکاگو گریل(تجریش),حجم زیاد ، پخت مرغ عالی,۸ آبان ۱۴۰۴,5
شیکاگو گریل(تجریش),خیلی عالی بود. سپاس,۷ آبان ۱۴۰۴,5
شیکاگو گریل(تجریش),سوپ عالی غذا مثل همیشه خوشمزه,۲ آبان ۱۴۰۴,5
شیکاگو گریل(تجریش),مثل همیشه نبود پوره یکم مزه ترش داشت,۲۸ مهر ۱۴۰۴,3
شیکاگو گریل(تجریش),واقعا عالی,۲۵ مهر ۱۴۰۴,5
شیکاگو گریل(تجریش),عالی و حرفه ای,۲۳ مهر ۱۴۰۴,5
شیکاگو گریل(تجریش),سوپ خیلی خوب بود ولی دورچین استیک تقریبا خام بود,۲۰ مهر ۱۴۰۴,3
شیکاگو گریل(تجریش),عالی و تازه و پخت عالی,۱۹ مهر ۱۴۰۴,5
شیکاگو گریل(تجریش),مثل همیشه عالی و با کیفیت.,۱۶ مهر ۱۴۰۴,5
شیکاگو گریل(تجریش),بی نظیر و تازه مرغ آبدار و خوش طعم,۱۵ مهر ۱۴۰۴,5
شیکاگو گریل(تجریش),همه چیز خوب بود.,۱۳ مهر ۱۴۰۴,5
شیکاگو گریل(تجریش),من مشتری دائمی این مجموعه هستم اول که همیشه درجه یک، سریع و با قیمت منصفانه بودن دوم که این شعبه به نظرم از بقیه یه سر و گردن بالاتره فقط تنها پیشنهادی که میتونم بدم اینه که گه‌گداری ایتم جدید به منو اضافه کنید,۶ مهر ۱۴۰۴,5
شیکاگو گریل(تجریش),واقعا باکیفیت. ممنونم از شما,۶ مهر ۱۴۰۴,5
شیکاگو گریل(تجریش),همه چی مثل همیشه خوب بود فقط این دفعه سبزیجات به ویژه کدو بوی ماهی میداد ، فک کنم تو ظرفی که ماهی رو گریل کردین اونم گریل کردین، که خوب نبود.به هر حال امتیازی کم نکردم چون از خوبا هستین. ی ترکیب سبزیجات دیگه هم کنار کار بود که حذف شده ، کاش حذف نمیکردین.,۴ مهر ۱۴۰۴,5
شیکاگو گریل(تجریش),واقعا کیفیت و حجک و قیمت و همه چیز عالی بود,۲ مهر ۱۴۰۴,5
شیکاگو گریل(تجریش),کیفیت عالی، حجم خوب و به موقع و گرم ب دستم رسید,۲۶ شهریور ۱۴۰۴,5
شیکاگو گریل(تجریش),واقعا بهترین مرغ گریلی بود که خوردم,۲۳ شهریور ۱۴۰۴,5
شیکاگو گریل(تجریش),سالاد كنار استيك مرغ كه قبلا سالاد سبزيجات خورد شده مثل هويج و كلم بود و خيلئ خوشمزه بود حذف شده بود و به جاش فقط چند تا دونه قارچ و يه فلفل دلمه ائ بزرگ ارسال شده بود,۲۰ شهریور ۱۴۰۴,3
شیکاگو گریل(تجریش),کیفت و طعم غذا خیلی خوب بود. تنها نکته منفی این بود که غذا داغ به دستم نرسید و مقداری سرد شده بود.,۱۹ شهریور ۱۴۰۴,4
برگراتور,مرغش سیاه شده بودو مزه سوختگی میداد,۱۵ آبان ۱۴۰۴,3
